VCP SETUP D — 2126 stocks — 2015-2026
Total: 841 | WR: 53.7% | R:R: 1.89 | Exp: +5.6%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
SUNDARMFIN   2019-11-15    1590.38  1554.54    -2.2%  L    90 time_up 
GLAXO        2019-11-28    1449.92  1236.32   -14.7%  L    68 sl_hit  
TATACHEM     2019-12-13     264.44   239.18    -9.6%  L    90 time_up 
NH           2019-12-19     303.95   287.04    -5.6%  L    88 sl_hit  
ADANIENT     2019-12-20     216.73   197.66    -8.8%  L    17 sl_hit  
GSPL         2020-01-03     219.76   195.38   -11.1%  L    69 sl_hit  
GUJGASLTD    2020-01-03     239.03   195.59   -18.2%  L    80 sl_hit  
FACT         2020-01-06      45.90    36.43   -20.6%  L    39 sl_hit  
GMRAIRPORT   2020-01-06      20.36    18.02   -11.5%  L    53 sl_hit  
TATACONSUM   2020-01-10     326.02   289.83   -11.1%  L    62 sl_hit  
GESHIP       2020-01-14     256.43   227.36   -11.3%  L    30 sl_hit  
COROMANDEL   2020-01-15     532.66   491.86    -7.7%  L    91 time_up 
NESTLEIND    2020-01-16     717.49   632.53   -11.8%  L    62 sl_hit  
APLLTD       2020-01-17     555.01   456.46   -17.8%  L    61 sl_hit  
NAVINFLUOR   2020-01-17    1051.64  1410.34   +34.1%  W    90 time_up 
COCHINSHIP   2020-01-20     182.44   162.28   -11.1%  L     7 sl_hit  
TECHNOE      2020-01-20     286.78   244.53   -14.7%  L    52 sl_hit  
PERSISTENT   2020-01-22     341.20   308.17    -9.7%  L    50 sl_hit  
CHOLAFIN     2020-01-23     318.53   285.75   -10.3%  L    42 sl_hit  
DIVISLAB     2020-01-29    1888.44  2292.54   +21.4%  W    90 time_up 
POLYMED      2020-01-29     288.29   200.76   -30.4%  L    55 sl_hit  
JUBLFOOD     2020-01-30     361.54   291.87   -19.3%  L    42 sl_hit  
GODREJPROP   2020-02-03    1071.20   915.40   -14.5%  L    32 sl_hit  
ABFRL        2020-02-06     250.71   201.18   -19.8%  L    39 sl_hit  
ALKEM        2020-02-07    2335.84  2049.86   -12.2%  L    41 sl_hit  
TRENT        2020-02-07     657.92   533.10   -19.0%  L    39 sl_hit  
MUTHOOTFIN   2020-02-17     786.67   643.36   -18.2%  L    28 sl_hit  
DEEPAKNTR    2020-02-25     492.97   356.94   -27.6%  L    22 sl_hit  
TIMKEN       2020-02-25    1021.23   864.14   -15.4%  L     6 sl_hit  
ZFCVINDIA    2020-03-04    6695.03  5852.56   -12.6%  L    14 sl_hit  
FINPIPE      2020-03-09     103.86    94.20    -9.3%  L     3 sl_hit  
FACT         2020-06-25      51.63    43.51   -15.7%  L    90 time_up 
CIPLA        2020-07-16     649.68   752.74   +15.9%  W    90 time_up 
SYNGENE      2020-08-25     500.27   453.96    -9.3%  L    13 sl_hit  
SUNPHARMA    2020-08-28     524.38   473.57    -9.7%  L    11 sl_hit  
ESCORTS      2020-09-09    1167.35  1351.53   +15.8%  W    90 time_up 
SYNGENE      2020-09-14     529.57   607.71   +14.8%  W    91 time_up 
OFSS         2020-10-16    2542.04  2673.23    +5.2%  W    90 time_up 
COLPAL       2020-10-27    1357.69  1357.35    -0.0%  L    90 time_up 
BERGEPAINT   2020-11-06     527.70   596.10   +13.0%  W    90 time_up 
GRASIM       2020-11-13     817.18  1199.96   +46.8%  W    90 time_up 
INDIACEM     2020-11-17     132.91   169.76   +27.7%  W    90 time_up 
METROPOLIS   2020-11-23     549.45   486.12   -11.5%  L    91 time_up 
PIIND        2020-11-23    2381.91  2035.77   -14.5%  L    66 sl_hit  
HDFCLIFE     2020-11-27     637.05   722.44   +13.4%  W    90 time_up 
JSWSTEEL     2020-11-27     331.51   399.24   +20.4%  W    90 time_up 
MFSL         2020-11-27     648.65   889.05   +37.1%  W    90 time_up 
RAMCOCEM     2020-11-27     879.49   969.84   +10.3%  W    90 time_up 
TATASTEEL    2020-11-27      49.70    63.95   +28.7%  W    90 time_up 
VOLTAS       2020-11-27     786.61  1022.72   +30.0%  W    90 time_up 
ZENTEC       2020-11-27      79.04    85.86    +8.6%  W    90 time_up 
CEATLTD      2020-12-01    1119.96   991.29   -11.5%  L    20 sl_hit  
HFCL         2020-12-01      19.31    28.92   +49.7%  W    90 time_up 
SARDAEN      2020-12-02      31.93    36.69   +14.9%  W    90 time_up 
ECLERX       2020-12-03     262.72   328.78   +25.1%  W    90 time_up 
APLAPOLLO    2020-12-04     365.81   647.98   +77.1%  W    90 time_up 
ENDURANCE    2020-12-04    1146.29  1360.72   +18.7%  W    90 time_up 
NATCOPHARM   2020-12-07     936.14   823.00   -12.1%  L    67 sl_hit  
ERIS         2020-12-08     524.67   561.47    +7.0%  W    90 time_up 
TEJASNET     2020-12-10     150.01   189.52   +26.3%  W    90 time_up 
GODREJIND    2020-12-16     474.65   507.10    +6.8%  W    90 time_up 
MMTC         2020-12-16      24.75    44.60   +80.2%  W    90 time_up 
JUBLFOOD     2020-12-17     555.40   568.23    +2.3%  W    90 time_up 
AARTIIND     2020-12-18     600.27   611.38    +1.9%  W    90 time_up 
ASTRAL       2020-12-21     831.55  1267.26   +52.4%  W    91 time_up 
MPHASIS      2020-12-21    1245.45  1495.46   +20.1%  W    91 time_up 
KAJARIACER   2020-12-23     665.23   874.10   +31.4%  W    90 time_up 
JSL          2020-12-28      78.07    66.77   -14.5%  L    92 time_up 
ASTRAZEN     2020-12-29    4474.13  3968.27   -11.3%  L    20 sl_hit  
SYNGENE      2020-12-31     635.06   546.89   -13.9%  L    62 sl_hit  
CENTURYPLY   2021-01-01     245.07   315.44   +28.7%  W    90 time_up 
HINDZINC     2021-01-05     170.92   197.77   +15.7%  W    90 time_up 
NAUKRI       2021-01-05    1076.65   855.14   -20.6%  L    24 sl_hit  
POLYCAB      2021-01-05    1113.33  1335.53   +20.0%  W    90 time_up 
WIPRO        2021-01-05     187.27   196.54    +5.0%  W    90 time_up 
POWERGRID    2021-01-06      83.73    90.95    +8.6%  W    90 time_up 
AJANTPHARM   2021-01-07    1113.57  1083.92    -2.7%  L    90 time_up 
OBEROIRLTY   2021-01-07     577.29   507.44   -12.1%  L    21 sl_hit  
VGUARD       2021-01-07     211.53   235.75   +11.4%  W    90 time_up 
ATUL         2021-01-08    6534.37  7845.66   +20.1%  W    90 time_up 
SBILIFE      2021-01-08     924.23   900.10    -2.6%  L    90 time_up 
TCS          2021-01-11    2787.04  2853.97    +2.4%  W    91 time_up 
MUTHOOTFIN   2021-01-13    1141.32  1044.01    -8.5%  L    14 sl_hit  
ALKEM        2021-01-18    2871.34  2468.70   -14.0%  L    64 sl_hit  
EIDPARRY     2021-01-21     348.01   303.95   -12.7%  L    22 sl_hit  
PCBL         2021-01-21      80.21    89.16   +11.2%  W    91 time_up 
CGCL         2021-01-25     344.94   371.22    +7.6%  W    91 time_up 
ULTRACEMCO   2021-01-25    5223.39  6106.38   +16.9%  W    91 time_up 
ABB          2021-02-02    1414.01  1366.76    -3.3%  L    90 time_up 
REDINGTON    2021-02-02      62.38    74.80   +19.9%  W    90 time_up 
PGHH         2021-02-04   11224.21 12463.25   +11.0%  W    90 time_up 
ADANIGREEN   2021-02-12    1068.95  1088.05    +1.8%  W    91 time_up 
CRISIL       2021-02-15    1884.88  1728.16    -8.3%  L    44 sl_hit  
UCOBANK      2021-02-17      13.99    12.22   -12.6%  L    34 sl_hit  
UNIONBANK    2021-02-19      34.98    28.03   -19.9%  L    62 sl_hit  
SCI          2021-02-24      94.41   105.97   +12.2%  W    90 time_up 
SBICARD      2021-02-25    1092.03   940.65   -13.9%  L    26 sl_hit  
KPRMILL      2021-03-01     191.56   311.09   +62.4%  W    91 time_up 
ASAHIINDIA   2021-03-03     310.16   307.50    -0.9%  L    90 time_up 
CUMMINSIND   2021-03-03     804.02   725.34    -9.8%  L    90 time_up 
JMFINANCIL   2021-03-03      86.67    77.87   -10.2%  L    22 sl_hit  
TATAPOWER    2021-03-04     105.00   103.85    -1.1%  L    90 time_up 
DCMSHRIRAM   2021-03-08     526.09   715.79   +36.1%  W    91 time_up 
