VCP SETUP C — 2126 stocks — 2015-2026
Total: 1410 | WR: 55.7% | R:R: 2.02 | Exp: +6.9%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
OIL          2016-11-22      86.12    90.71    +5.3%  W    90 time_up 
NATIONALUM   2016-11-25      32.70    37.75   +15.4%  W    90 time_up 
RECLTD       2016-11-30      49.92    44.76   -10.3%  L    23 sl_hit  
BHARATFORG   2016-12-13     467.03   485.26    +3.9%  W    91 time_up 
TRIDENT      2016-12-15       4.86     6.75   +38.8%  W    90 time_up 
GLENMARK     2016-12-16     898.27   865.57    -3.6%  L    90 time_up 
JSL          2016-12-19      37.66    70.99   +88.5%  W    91 time_up 
MPHASIS      2016-12-21     443.83   470.72    +6.1%  W    90 time_up 
IOC          2016-12-29      57.26    68.77   +20.1%  W    90 time_up 
TIMKEN       2016-12-29     567.77   594.57    +4.7%  W    90 time_up 
BALRAMCHIN   2016-12-30     112.91   131.26   +16.2%  W    90 time_up 
APARINDS     2017-01-04     573.11   684.77   +19.5%  W    91 time_up 
NLCINDIA     2017-01-04      49.94    73.08   +46.3%  W    91 time_up 
PCBL         2017-01-09      18.16    27.86   +53.4%  W    91 time_up 
GAIL         2017-01-11      57.32    67.31   +17.4%  W    90 time_up 
AIAENG       2017-01-12    1323.78  1470.61   +11.1%  W    90 time_up 
NTPC         2017-01-12     101.48    97.86    -3.6%  L    90 time_up 
BSOFT        2017-01-13      75.51    69.18    -8.4%  L    18 sl_hit  
MARUTI       2017-01-13    5239.99  5587.93    +6.6%  W    90 time_up 
TECHNOE      2017-01-16     318.15   354.84   +11.5%  W    91 time_up 
PRAJIND      2017-01-17      71.75    69.28    -3.4%  L    90 time_up 
VTL          2017-01-17     203.95   238.18   +16.8%  W    90 time_up 
GRAPHITE     2017-01-18      79.53    97.77   +22.9%  W    90 time_up 
INDHOTEL     2017-01-18      94.19   113.41   +20.4%  W    90 time_up 
KEC          2017-01-25     141.97   204.47   +44.0%  W    90 time_up 
IGL          2017-01-27      84.26    92.53    +9.8%  W    90 time_up 
KIRLOSENG    2017-02-02     285.87   337.91   +18.2%  W    90 time_up 
ADANIPORTS   2017-02-10     296.20   342.64   +15.7%  W    90 time_up 
MOTHERSON    2017-02-13      38.21    45.43   +18.9%  W    91 time_up 
JINDALSTEL   2017-02-15      88.50   112.51   +27.1%  W    90 time_up 
ASAHIINDIA   2017-02-21     207.01   231.63   +11.9%  W    90 time_up 
NATCOPHARM   2017-02-23     752.60   827.60   +10.0%  W    90 time_up 
HEG          2017-03-01      37.08    47.48   +28.1%  W    90 time_up 
GRAVITA      2017-03-07      46.70    73.36   +57.1%  W    90 time_up 
SUPREMEIND   2017-03-10     953.98  1068.75   +12.0%  W    90 time_up 
ABFRL        2017-03-17     153.67   177.38   +15.4%  W    90 time_up 
SUNDRMFAST   2017-03-20     348.30   402.12   +15.4%  W    91 time_up 
TRIDENT      2017-03-23       7.14     6.49    -9.1%  L    90 time_up 
DCMSHRIRAM   2017-03-24     261.70   320.92   +22.6%  W    90 time_up 
UNIONBANK    2017-03-24     133.48   130.11    -2.5%  L    90 time_up 
MPHASIS      2017-03-28     478.02   442.12    -7.5%  L    10 sl_hit  
SCHAEFFLER   2017-03-28     809.54   850.91    +5.1%  W    91 time_up 
PFC          2017-03-30      67.76    59.64   -12.0%  L    67 sl_hit  
BEML         2017-03-31     533.16   488.40    -8.4%  L    52 sl_hit  
IOC          2017-03-31      71.91    71.87    -0.1%  L    90 time_up 
SOLARINDS    2017-03-31     764.72   792.42    +3.6%  W    90 time_up 
