VCP SETUP A — 2126 stocks — 2015-2026
Total: 3487 | WR: 54.7% | R:R: 2.01 | Exp: +6.8%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
DLF          2016-08-11     149.93   137.75    -8.1%  L    21 sl_hit  
ESCORTS      2016-08-11     290.88   318.43    +9.5%  W    90 time_up 
AXISBANK     2016-08-12     582.09   510.98   -12.2%  L    62 sl_hit  
BALKRISIND   2016-08-16     340.81   443.07   +30.0%  W    91 time_up 
SAMMAANCAP   2016-08-16     571.57   477.68   -16.4%  L    91 sl_hit  
NEULANDLAB   2016-08-17     944.48   981.39    +3.9%  W    90 time_up 
ASIANPAINT   2016-08-18    1026.38   827.71   -19.4%  L    89 sl_hit  
INDUSINDBK   2016-08-18    1134.34  1039.91    -8.3%  L    90 time_up 
NBCC         2016-08-18      48.53    44.49    -8.3%  L    90 time_up 
DEEPAKFERT   2016-08-19     150.30   167.16   +11.2%  W    90 time_up 
FORTIS       2016-08-22     180.76   160.79   -11.1%  L    38 sl_hit  
GSPL         2016-08-22     133.83   137.95    +3.1%  W    91 time_up 
SUPREMEIND   2016-08-22     917.47   814.99   -11.2%  L    31 sl_hit  
CCL          2016-08-23     252.43   215.68   -14.6%  L    90 time_up 
SYNGENE      2016-08-24     214.82   259.76   +20.9%  W    90 time_up 
PCBL         2016-08-25      16.82    16.71    -0.7%  L    90 time_up 
PIIND        2016-08-25     787.38   779.56    -1.0%  L    90 time_up 
CRISIL       2016-08-26    1851.52  1967.86    +6.3%  W    90 time_up 
TATACHEM     2016-08-26     191.21   154.89   -19.0%  L    90 time_up 
KAJARIACER   2016-08-29     591.53   553.03    -6.5%  L    57 sl_hit  
CENTRALBK    2016-08-30     107.41    90.52   -15.7%  L    30 sl_hit  
CESC         2016-08-31      42.07    37.54   -10.8%  L    47 sl_hit  
APOLLOTYRE   2016-09-06     176.85   162.92    -7.9%  L    90 time_up 
BASF         2016-09-06    1112.51   999.09   -10.2%  L    72 sl_hit  
EMAMILTD     2016-09-06     520.68   468.80   -10.0%  L    66 sl_hit  
GAIL         2016-09-06      51.58    55.10    +6.8%  W    90 time_up 
JSWSTEEL     2016-09-06     168.12   147.76   -12.1%  L    51 sl_hit  
NCC          2016-09-06      78.91    65.07   -17.5%  L    79 sl_hit  
SHREECEM     2016-09-06   17300.75 15507.83   -10.4%  L    58 sl_hit  
TRITURBINE   2016-09-06     118.86   108.44    -8.8%  L    90 time_up 
CHENNPETRO   2016-09-07     234.58   183.96   -21.6%  L    69 sl_hit  
FEDERALBNK   2016-09-07      68.83    64.62    -6.1%  L    90 time_up 
GODREJCP     2016-09-07     513.71   445.78   -13.2%  L    65 sl_hit  
KIRLOSENG    2016-09-07     251.86   273.21    +8.5%  W    90 time_up 
LT           2016-09-07     876.39   806.98    -7.9%  L    61 sl_hit  
UPL          2016-09-07     402.59   409.72    +1.8%  W    90 time_up 
BRIGADE      2016-09-08     113.12   104.89    -7.3%  L    62 sl_hit  
M&MFIN       2016-09-08     197.39   172.02   -12.8%  L    63 sl_hit  
ANANTRAJ     2016-09-09      24.46    21.47   -12.2%  L    38 sl_hit  
EXIDEIND     2016-09-09     173.33   163.57    -5.6%  L    90 time_up 
RELINFRA     2016-09-09     586.03   521.09   -11.1%  L    20 sl_hit  
ULTRACEMCO   2016-09-09    3805.40  3237.96   -14.9%  L    67 sl_hit  
PHOENIXLTD   2016-09-12     203.51   177.09   -13.0%  L    57 sl_hit  
RELIANCE     2016-09-16     235.68   215.92    -8.4%  L    60 sl_hit  
TATACOMM     2016-09-19     288.70   356.36   +23.4%  W    91 time_up 
JYOTHYLAB    2016-09-20     151.62   155.66    +2.7%  W    90 time_up 
MCX          2016-09-20     179.21   229.16   +27.9%  W    90 time_up 
PAGEIND      2016-09-20   13684.91 11827.61   -13.6%  L    56 sl_hit  
SARDAEN      2016-09-20      17.17    20.20   +17.6%  W    90 time_up 
KPRMILL      2016-09-22     118.62   101.16   -14.7%  L    21 sl_hit  
INDIANB      2016-09-28     192.11   177.05    -7.8%  L    90 time_up 
JKCEMENT     2016-09-28     806.62   701.57   -13.0%  L    50 sl_hit  
TRIVENI      2016-09-28      55.47    54.60    -1.6%  L    90 time_up 
SRF          2016-09-29     336.33   292.58   -13.0%  L    48 sl_hit  
GODREJIND    2016-10-03     441.48   403.73    -8.6%  L    37 sl_hit  
CANBK        2016-10-04      56.09    49.86   -11.1%  L    29 sl_hit  
EIDPARRY     2016-10-04     242.50   241.00    -0.6%  L    90 time_up 
LICHSGFIN    2016-10-04     512.19   471.49    -8.0%  L    30 sl_hit  
PNB          2016-10-04     135.19   122.15    -9.6%  L    31 sl_hit  
VEDL         2016-10-04      63.13    75.21   +19.1%  W    90 time_up 
BBTC         2016-10-05     638.70   515.77   -19.2%  L    37 sl_hit  
DLF          2016-10-05     147.15   132.61    -9.9%  L    29 sl_hit  
GMDCLTD      2016-10-05      72.58    74.31    +2.4%  W    90 time_up 
INDIACEM     2016-10-05     151.82   102.61   -32.4%  L    47 sl_hit  
TATACONSUM   2016-10-05     139.37   119.41   -14.3%  L    29 sl_hit  
OIL          2016-10-06      83.34    92.32   +10.8%  W    90 time_up 
SUNTV        2016-10-07     437.39   356.57   -18.5%  L    42 sl_hit  
JBMA         2016-10-10      46.28    37.72   -18.5%  L    42 sl_hit  
NATIONALUM   2016-10-10      30.06    37.49   +24.7%  W    91 time_up 
BAYERCROP    2016-10-13    3738.10  3210.45   -14.1%  L    39 sl_hit  
RECLTD       2016-10-13      47.44    48.66    +2.6%  W    90 time_up 
TATASTEEL    2016-10-13      31.12    33.71    +8.3%  W    90 time_up 
UNOMINDA     2016-10-13      54.88    43.85   -20.1%  L    39 sl_hit  
CANFINHOME   2016-10-14     343.39   295.59   -13.9%  L    28 sl_hit  
JBCHEPHARM   2016-10-14     177.54   155.67   -12.3%  L    32 sl_hit  
NESTLEIND    2016-10-14     305.23   264.41   -13.4%  L    32 sl_hit  
CENTURYPLY   2016-10-17     246.61   205.65   -16.6%  L    23 sl_hit  
CHOLAHLDNG   2016-10-17     405.71   367.90    -9.3%  L    35 sl_hit  
ICICIBANK    2016-10-17     224.18   233.32    +4.1%  W    91 time_up 
JUBLPHARMA   2016-10-17     450.99   398.87   -11.6%  L    29 sl_hit  
KEI          2016-10-17     119.65   107.45   -10.2%  L    35 sl_hit  
MAHSCOOTER   2016-10-17    1744.73  1389.13   -20.4%  L    91 time_up 
CAPLIPOINT   2016-10-18     279.82   395.55   +41.4%  W    90 time_up 
JMFINANCIL   2016-10-19      69.87    50.76   -27.4%  L    27 sl_hit  
MAHSEAMLES   2016-10-19     104.87   123.76   +18.0%  W    90 time_up 
TIMKEN       2016-10-19     552.15   488.65   -11.5%  L    33 sl_hit  
ADANIPORTS   2016-10-20     271.46   277.79    +2.3%  W    90 time_up 
HINDZINC     2016-10-20     113.79   132.78   +16.7%  W    90 time_up 
NAVINFLUOR   2016-10-20     513.04   540.87    +5.4%  W    90 time_up 
PFC          2016-10-21      58.55    54.22    -7.4%  L    12 sl_hit  
POLYMED      2016-10-21     200.79   170.49   -15.1%  L    31 sl_hit  
SUNDRMFAST   2016-10-21     301.18   246.83   -18.0%  L    66 sl_hit  
ENGINERSIN   2016-10-24     102.45   109.80    +7.2%  W    91 time_up 
HSCL         2016-10-24      44.93    39.32   -12.5%  L    22 sl_hit  
IIFL         2016-10-24     134.71   119.72   -11.1%  L    22 sl_hit  
WHIRLPOOL    2016-10-24    1105.86   866.07   -21.7%  L    23 sl_hit  
BAJAJHLDNG   2016-10-25    1899.75  1539.53   -19.0%  L    63 sl_hit  
DCMSHRIRAM   2016-10-25     242.05   171.77   -29.0%  L    62 sl_hit  
MMTC         2016-10-25      31.11    27.77   -10.7%  L    23 sl_hit  
PGEL         2016-10-25      17.50    14.39   -17.8%  L    17 sl_hit  
ZYDUSLIFE    2016-10-25     376.42   345.78    -8.1%  L    14 sl_hit  
COROMANDEL   2016-10-26     245.50   226.15    -7.9%  L    14 sl_hit  
KIRLOSBROS   2016-10-26     176.18   136.00   -22.8%  L    20 sl_hit  
LTF          2016-10-26      89.26    70.51   -21.0%  L    26 sl_hit  
MARUTI       2016-10-26    5395.91  4898.90    -9.2%  L    15 sl_hit  
VGUARD       2016-10-26     146.77   119.44   -18.6%  L    23 sl_hit  
NMDC         2016-10-27      17.22    20.29   +17.8%  W    90 time_up 
CHOLAFIN     2016-10-28     229.22   190.95   -16.7%  L    13 sl_hit  
ABREL        2016-11-01     979.15   820.17   -16.2%  L    90 time_up 
ACE          2016-11-01      54.13    40.74   -24.7%  L    20 sl_hit  
GESHIP       2016-11-01     286.67   294.94    +2.9%  W    90 time_up 
GLENMARK     2016-11-01     932.32   839.49   -10.0%  L     3 sl_hit  
SAIL         2016-11-01      43.70    53.56   +22.6%  W    90 time_up 
SWANCORP     2016-11-01     103.31   171.03   +65.6%  W    90 time_up 
PGHH         2016-11-02    6054.21  5912.08    -2.4%  L    90 time_up 
SJVN         2016-11-02      19.18    19.03    -0.8%  L    90 time_up 
OBEROIRLTY   2016-11-03     350.23   259.01   -26.1%  L    12 sl_hit  
