VCP SETUP B — 2126 stocks — 2015-2026
Total: 2322 | WR: 54.1% | R:R: 2.12 | Exp: +6.8%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
TRIDENT      2017-03-17       6.79     6.68    -1.6%  L    90 time_up 
SUNDRMFAST   2017-03-20     348.30   402.12   +15.4%  W    91 time_up 
BANKINDIA    2017-03-24     116.95   119.85    +2.5%  W    90 time_up 
DCMSHRIRAM   2017-03-24     261.70   320.92   +22.6%  W    90 time_up 
UNIONBANK    2017-03-24     133.48   130.11    -2.5%  L    90 time_up 
MPHASIS      2017-03-28     478.02   442.12    -7.5%  L    10 sl_hit  
NEULANDLAB   2017-03-28    1460.22  1362.84    -6.7%  L    91 time_up 
SCHAEFFLER   2017-03-28     809.54   850.91    +5.1%  W    91 time_up 
SUNTV        2017-03-28     615.52   624.03    +1.4%  W    91 time_up 
JMFINANCIL   2017-03-29      77.04   100.70   +30.7%  W    90 time_up 
MAHSCOOTER   2017-03-29    1600.31  1599.15    -0.1%  L    90 time_up 
MUTHOOTFIN   2017-03-29     320.69   375.65   +17.1%  W    90 time_up 
SBIN         2017-03-29     263.77   258.04    -2.2%  L    90 time_up 
EXIDEIND     2017-03-30     202.05   198.61    -1.7%  L    90 time_up 
PFC          2017-03-30      67.76    59.64   -12.0%  L    67 sl_hit  
BEML         2017-03-31     533.16   488.40    -8.4%  L    52 sl_hit  
IOC          2017-03-31      71.91    71.87    -0.1%  L    90 time_up 
CHAMBLFERT   2017-04-03      71.52    99.18   +38.7%  W    91 time_up 
TARIL        2017-04-03      20.83    18.34   -11.9%  L    56 sl_hit  
JBMA         2017-04-05      54.44    55.97    +2.8%  W    90 time_up 
JUBLPHARMA   2017-04-05     579.53   526.52    -9.2%  L    27 sl_hit  
BEL          2017-04-06      42.52    43.58    +2.5%  W    90 time_up 
RELIANCE     2017-04-06     315.21   316.12    +0.3%  W    90 time_up 
SARDAEN      2017-04-06      23.62    22.65    -4.1%  L    90 time_up 
BAJAJFINSV   2017-04-07     421.00   394.90    -6.2%  L    45 sl_hit  
HSCL         2017-04-07      49.70    73.07   +47.0%  W    90 time_up 
TATACHEM     2017-04-10     208.21   219.49    +5.4%  W    91 time_up 
ADANIENT     2017-04-11      64.75    71.98   +11.2%  W    90 time_up 
CEATLTD      2017-04-11    1339.01  1726.65   +28.9%  W    90 time_up 
PCBL         2017-04-11      29.63    48.54   +63.8%  W    90 time_up 
REDINGTON    2017-04-11      43.60    50.95   +16.9%  W    90 time_up 
NCC          2017-04-12      79.09    79.36    +0.3%  W    90 time_up 
UPL          2017-04-18     463.85   530.53   +14.4%  W    90 time_up 
INDIACEM     2017-04-19     168.00   201.42   +19.9%  W    90 time_up 
BALRAMCHIN   2017-04-20     144.19   139.24    -3.4%  L    90 time_up 
OBEROIRLTY   2017-04-20     384.74   348.20    -9.5%  L    64 sl_hit  
MMTC         2017-04-21      43.54    38.61   -11.3%  L    32 sl_hit  
ULTRACEMCO   2017-04-24    3986.20  4049.94    +1.6%  W    91 time_up 
PNB          2017-04-26     155.09   134.63   -13.2%  L    33 sl_hit  
GRAPHITE     2017-04-27      97.81   151.80   +55.2%  W    90 time_up 
MOTHERSON    2017-04-28      43.69    52.31   +19.7%  W    90 time_up 
ONGC         2017-05-02     117.83   106.96    -9.2%  L    21 sl_hit  
THERMAX      2017-05-03     985.10   840.79   -14.7%  L    90 time_up 
CANBK        2017-05-04      67.68    62.99    -6.9%  L    90 time_up 
ICICIBANK    2017-05-04     258.02   289.94   +12.4%  W    90 time_up 
MOTILALOFS   2017-05-04     901.24  1043.15   +15.8%  W    90 time_up 
ACE          2017-05-08      63.04    65.02    +3.1%  W    91 time_up 
CHENNPETRO   2017-05-09     312.39   280.53   -10.2%  L    44 sl_hit  
CROMPTON     2017-05-09     223.77   190.11   -15.0%  L    71 sl_hit  
CAPLIPOINT   2017-05-12     452.72   632.58   +39.7%  W    90 time_up 
PETRONET     2017-05-15     156.43   143.85    -8.0%  L    64 sl_hit  
SRF          2017-05-16     354.70   310.50   -12.5%  L     7 sl_hit  
BALKRISIND   2017-05-17     709.85   716.79    +1.0%  W    91 time_up 
TATAINVEST   2017-05-17      57.76    73.75   +27.7%  W    91 time_up 
UBL          2017-05-17     788.83   785.43    -0.4%  L    91 time_up 
MPHASIS      2017-05-31     489.59   500.55    +2.2%  W    90 time_up 
SAMMAANCAP   2017-05-31     838.16   874.70    +4.4%  W    90 time_up 
BASF         2017-06-01    1350.04  1460.24    +8.2%  W    90 time_up 
